Governorate,Municipality,Neighborhood,Obs
Deir Al-Balah,Al Bureij,Al Bureij Camp,
,,Other,
,Al Maghazi,,
,Al Musaddar,Al Musaddar,
,,Al Basateen,
,Al Qarara,,
,An Nuseirat,An Nuseirat Camp,
,,Other,
,Az Zawayda,Ansar,
,,Az Zawayda,
,Deir al Balah,Ad Damitha'a,
,,Al Ma'ani,
,,Ar Rasheed,
,,As Mahatta,
,,Deir al Balah,
,,Taz Az-Zuhour,
,,Wadi as Salqa,
,,Other,
,,,
,,Deir al Balah Camp,
,Wadi as Salqa,Abu Mgheiseb,
,,Al Ma'ani,
,,Sawarkeh,
Gaza,Al Bureij,,
,Ash Shati' Camp,Ash Shati' Camp,
,,Northern Remal,
,Gaza,Ad Darraj,
,,An Naser,
,,As Sabra,
,,Ash Sheikh 'Ijleen,
,,Ash Shuja'iyeh,
,,At Tuffah,
,,Az Zaitoun,
,,Gaza Harbor,
,,Old City,
,,Southern Remal,
,,Tal El Hawa,
,Juhor ad Dik,Al Wadi,
,,Juhor ad Dik,
,,Other,
,Madinat Ezahra,Al Mughraqa,
,,Al Zahra,
,,Az Zahra'a,
,,Other,
Khan Younis,Abasan al Kabira,Abasan al Kabira,
,,Abasan al Jadida (as Saghir),
,,Qa' al Qurein,
,Al Fukhkhari,Al Fukhkhari,
,,Other,
,Al Qarara,As Sureij,
,,Other,
,Al-Nnaser (Al Bayuk),,
,Bani Suheila,Bani Suheila,
,,Ma'in,
,Khan Yunis,Al Jala'a,
,,Al Mahatta,
,,Al Qarara,
,,Al Tahrir,
,,As Sater,
,,Coast of Khan Younis,
,,Hamad,
,,Khan Younis,
,,Khan Yunis Camp,
,,Qa' al Kharaba,
,,Qizan an Najjar,
,,Qizan An-Najjar,
,Khuza'a,Khuza'a,
,,Other,
North Gaza,Beit Hanun,Al Balad,
,,Al Farata,
,,Al Qaraya al Badawiya al Maslakh,
,,Al-Nazaz,
,,Al-Sekka,
,,AlSoltan Abedl Hamaid,
,,Ezbet Beit Hanoun,
,,Hai Abu Rahma,
,,Hai Al Amal,
,,Hai-Albanat,
,,Izbat Abed Rabbou,
,,Madinat Ash Sheikh Zayed,
,,Other,
,Beit Lahiya,Al Attarta,
,,Al Jam'ia,
,,Al Kur'a El Khamsa,
,,Al Manshieh,
,,Al Qaraya al Badawiya al Maslakh,
,,Al Salateen,
,,Al Share' El Am,
,,Alkhazan,
,,As Siafa,
,,Aslan,
,,Fado's,
,,Ghaboon/Hai Al Amal,
,,Hatabiyya,
,,Mashroo Amer wal Isra'a,
,,Other,
,Jabalya,Al Mashroo,
,,An Nur,
,,Ash Sheikh Radwan,
,,Az Zohour,
,,Coast of North Gaza,
,,Gaza Harbor,
,,Jabalia Camp,
,,Madinat al 'Awda,
,,Tal Az-Za'atar,
,,Other,
,,Jabalya Camp - Al Mashroo,
,,Jabalya Camp - Other,
,Um Al-NASER,,
Rafah,Al-Nnaser (Al Bayuk),,
,Rafah,Al Mawasi (Rafah),
,,Rafah,
,,Shokat as Sufi,
,,Tal as Sultan,
,,Umm al Kilab,
,,Other,
,,Rafah Camp,
,Shokat as Sufi,Al Bayuk,
,,Other,
